date,zulip_total_users
2025-03-14,2026
2025-03-15,2028
2025-03-16,2028
2025-03-17,2030
2025-03-18,2031
2025-03-19,2032
2025-03-20,2035
2025-03-21,2038
2025-03-22,2039
2025-03-23,2041
2025-03-24,2042
2025-03-25,2047
2025-03-26,2050
2025-03-27,2053
2025-03-28,2053
2025-03-29,2055
2025-03-30,2057
2025-03-31,2059
2025-04-01,2060
2025-04-02,2061
2025-04-03,2065
2025-04-04,2067
2025-04-05,2068
2025-04-06,2070
2025-04-07,2074
2025-04-08,2079
2025-04-09,2081
2025-04-10,2081
2025-04-11,2082
2025-04-12,2084
2025-04-13,2084
2025-04-14,2084
2025-04-15,2084
2025-04-16,2084
2025-04-17,2084
2025-04-18,2084
2025-04-19,2085
2025-04-20,2085
2025-04-21,2085
2025-04-22,2085
2025-04-23,2085
2025-04-24,2085
2025-04-25,2085
2025-04-26,2085
2025-04-27,2085
2025-04-28,2085
2025-04-29,2085
2025-04-30,2085
2025-05-01,2085
2025-05-02,2086
2025-05-03,2086
2025-05-04,2086
2025-05-05,2086
2025-05-06,2087
2025-05-07,2087
2025-05-08,2087
2025-05-09,2087
2025-05-10,2087
2025-05-11,2087
2025-05-12,2088
2025-05-13,2089
2025-05-15,2091
2025-05-16,2093
2025-05-17,2094
2025-05-18,2094
2025-05-19,2094
2025-05-20,2094
2025-05-21,2094
2025-05-22,2094
2025-05-23,2094
2025-05-24,2094
2025-05-25,2094
2025-05-27,2095
