date,youtube_subscribers_foundation
2025-03-17,"2950"
2025-03-20,"2950"
2025-03-21,"2950"
2025-03-22,"2950"
2025-03-23,"2950"
2025-03-24,"2960"
2025-03-25,"2960"
2025-03-26,"2960"
2025-03-27,"2960"
2025-03-28,"2960"
2025-03-29,"2960"
2025-03-30,"2960"
2025-03-31,"2960"
2025-04-01,"2960"
2025-04-02,"2960"
2025-04-03,"2970"
2025-04-04,"2970"
2025-04-05,"2970"
2025-04-06,"2970"
2025-04-07,"2970"
2025-04-08,"2970"
2025-04-09,"2970"
2025-04-10,"2970"
2025-04-11,"2980"
2025-04-12,"2980"
2025-04-13,"2980"
2025-04-14,"2980"
2025-04-15,"2980"
2025-04-16,"2980"
2025-04-17,"2980"
2025-04-18,"2990"
2025-04-19,"2990"
2025-04-20,"2990"
2025-04-21,"2990"
2025-04-22,"2990"
2025-04-23,"2990"
2025-04-24,"2990"
2025-04-25,"3000"
2025-04-26,"3000"
2025-04-27,"3000"
2025-04-28,"3000"
2025-04-29,"3000"
2025-04-30,"3000"
